Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Los Angeles Lakers,LA Clippers,0021901232,103,0.778,0.485,0.355,0.73,45.4,25.5,14.9,8.5,6.7,7.3,112.6,105.5,0.577,101,0.688,0.464,0.366,0.792,46.6,23.2,14.4,6.9,4.8,6.3,112.9,106.6,0.574,1,07/30/2020
New Orleans Pelicans,Utah Jazz,0021901231,104,0.438,0.462,0.372,0.729,44.7,25.7,15.4,7.2,4.9,-0.8,110.6,111.6,0.567,106,0.641,0.475,0.383,0.772,45.5,22.4,15.0,5.9,4.0,3.2,112.1,108.8,0.587,0,07/30/2020
San Antonio Spurs,Sacramento Kings,0021901237,129,0.429,0.47,0.371,0.809,43.7,24.1,12.1,7.1,5.4,-1.7,111.3,112.8,0.569,120,0.438,0.459,0.364,0.769,42.5,23.4,14.4,7.6,4.2,-1.9,109.0,110.8,0.563,1,07/31/2020
Brooklyn Nets,Orlando Magic,0021901233,118,0.469,0.444,0.34,0.744,47.2,23.4,15.1,6.3,4.4,-0.6,107.8,108.3,0.55,128,0.462,0.442,0.341,0.77,45.0,24.2,12.7,8.4,5.8,-1.0,107.5,108.7,0.54,0,07/31/2020
Portland Trail Blazers,Memphis Grizzlies,0021901234,140,0.439,0.461,0.372,0.798,44.8,19.9,12.8,6.0,6.1,-1.6,112.0,113.6,0.566,135,0.492,0.47,0.352,0.761,45.2,26.1,14.8,7.7,5.4,-1.0,108.9,109.9,0.561,1,07/31/2020
Milwaukee Bucks,Boston Celtics,0021901236,119,0.815,0.477,0.356,0.742,48.9,24.5,14.1,7.0,5.7,10.7,112.3,101.6,0.583,112,0.672,0.459,0.363,0.801,45.7,22.7,13.6,8.2,5.6,6.1,112.3,106.2,0.567,1,07/31/2020
Dallas Mavericks,Houston Rockets,0021901238,149,0.597,0.462,0.369,0.773,46.8,24.4,12.7,6.2,5.0,6.0,115.8,110.0,0.581,153,0.625,0.454,0.348,0.787,43.1,20.6,14.1,8.1,4.9,3.6,113.4,109.9,0.578,0,07/31/2020
Washington Wizards,Phoenix Suns,0021901235,112,0.375,0.461,0.372,0.787,40.1,24.4,13.5,7.8,4.1,-3.9,111.1,115.0,0.568,125,0.4,0.464,0.353,0.826,42.2,26.6,14.8,7.6,3.9,-1.3,110.2,111.3,0.572,0,07/31/2020
LA Clippers,New Orleans Pelicans,0021901241,126,0.677,0.464,0.368,0.791,46.4,23.1,14.5,6.9,4.8,6.2,112.7,106.5,0.574,103,0.431,0.462,0.372,0.729,44.7,25.6,15.5,7.3,4.8,-0.8,110.5,111.5,0.566,1,08/01/2020
Indiana Pacers,Philadelphia 76ers,0021901242,127,0.6,0.477,0.363,0.787,43.0,26.0,13.2,7.3,5.2,1.9,109.7,107.7,0.565,121,0.6,0.465,0.362,0.752,45.5,25.9,14.2,8.2,5.4,2.2,109.7,107.6,0.562,1,08/01/2020
Denver Nuggets,Miami Heat,0021901239,105,0.662,0.471,0.358,0.775,44.9,26.9,13.9,8.3,4.7,3.0,112.0,108.9,0.564,125,0.631,0.47,0.383,0.778,44.6,26.0,14.9,7.4,4.5,3.2,112.2,109.2,0.587,0,08/01/2020
Toronto Raptors,Los Angeles Lakers,0021901243,107,0.719,0.458,0.371,0.8,44.5,25.0,14.2,8.7,4.9,6.4,111.3,104.9,0.574,92,0.781,0.483,0.354,0.731,45.4,25.4,14.9,8.4,6.7,7.2,112.4,105.4,0.577,1,08/01/2020
Oklahoma City Thunder,Utah Jazz,0021901240,110,0.625,0.473,0.355,0.797,42.7,21.9,13.5,7.6,5.0,2.5,111.0,108.4,0.577,94,0.646,0.474,0.381,0.774,45.5,22.3,15.1,6.0,4.1,3.2,112.0,108.7,0.586,1,08/01/2020
Phoenix Suns,Dallas Mavericks,0021901249,117,0.409,0.465,0.353,0.829,42.1,26.6,14.8,7.7,3.9,-1.1,110.3,111.1,0.573,115,0.588,0.463,0.37,0.772,46.8,24.4,12.8,6.2,4.9,5.9,115.9,110.3,0.582,1,08/02/2020
Brooklyn Nets,Washington Wizards,0021901244,118,0.462,0.444,0.34,0.744,47.0,23.5,15.1,6.2,4.4,-0.8,107.8,108.5,0.551,110,0.369,0.461,0.372,0.788,40.0,24.2,13.6,7.8,4.1,-4.0,111.0,115.0,0.567,1,08/02/2020
Boston Celtics,Portland Trail Blazers,0021901245,128,0.662,0.458,0.361,0.801,45.7,22.6,13.6,8.2,5.5,5.9,112.2,106.3,0.566,124,0.448,0.462,0.373,0.8,44.7,20.0,12.9,6.0,6.2,-1.5,112.2,113.6,0.567,1,08/02/2020
Orlando Magic,Sacramento Kings,0021901247,132,0.47,0.443,0.342,0.772,44.9,24.3,12.8,8.4,5.7,-0.8,107.7,108.8,0.541,116,0.431,0.46,0.363,0.769,42.5,23.4,14.5,7.7,4.2,-2.0,109.1,110.9,0.563,1,08/02/2020
Houston Rockets,Milwaukee Bucks,0021901248,120,0.631,0.455,0.349,0.787,43.0,20.6,14.0,8.1,5.0,3.6,113.6,110.2,0.58,116,0.818,0.477,0.355,0.744,48.9,24.5,14.1,7.0,5.7,10.6,112.2,101.6,0.583,1,08/02/2020
Memphis Grizzlies,San Antonio Spurs,0021901246,106,0.485,0.47,0.351,0.761,45.0,26.1,14.7,7.7,5.4,-1.1,109.1,110.2,0.562,108,0.438,0.471,0.372,0.809,43.6,24.2,12.1,7.1,5.4,-1.6,111.5,112.8,0.57,0,08/02/2020
Miami Heat,Toronto Raptors,0021901250,103,0.636,0.471,0.384,0.78,44.4,26.0,14.9,7.4,4.4,3.5,112.4,109.1,0.589,107,0.723,0.458,0.372,0.802,44.6,25.0,14.3,8.7,4.9,6.5,111.1,104.7,0.573,0,08/03/2020
Philadelphia 76ers,San Antonio Spurs,0021901254,132,0.591,0.465,0.362,0.753,45.6,25.8,14.3,8.1,5.4,2.1,109.8,107.8,0.563,130,0.446,0.47,0.373,0.807,43.7,24.2,12.2,7.0,5.4,-1.5,111.3,112.6,0.569,1,08/03/2020
Utah Jazz,Los Angeles Lakers,0021901255,108,0.636,0.473,0.379,0.774,45.3,22.2,15.1,6.1,4.1,2.9,111.7,108.8,0.585,116,0.769,0.481,0.352,0.731,45.3,25.3,14.9,8.4,6.7,6.9,112.0,105.4,0.575,0,08/03/2020
Washington Wizards,Indiana Pacers,0021901252,100,0.364,0.461,0.371,0.788,40.1,24.2,13.6,7.7,4.1,-4.1,111.0,115.1,0.567,111,0.606,0.477,0.364,0.786,42.8,26.1,13.1,7.3,5.1,2.0,109.9,107.9,0.565,0,08/03/2020
Oklahoma City Thunder,Denver Nuggets,0021901251,113,0.631,0.474,0.355,0.797,42.8,21.9,13.6,7.6,5.1,2.7,111.0,108.2,0.577,121,0.652,0.47,0.355,0.775,44.8,26.9,14.0,8.2,4.7,2.6,111.9,109.2,0.563,0,08/03/2020
New Orleans Pelicans,Memphis Grizzlies,0021901253,109,0.424,0.462,0.371,0.727,44.8,25.6,15.5,7.2,4.8,-1.1,110.3,111.6,0.566,99,0.478,0.47,0.349,0.762,44.9,26.1,14.7,7.7,5.3,-1.1,109.0,110.0,0.561,1,08/03/2020
LA Clippers,Phoenix Suns,0021901258,115,0.682,0.463,0.371,0.791,46.4,23.1,14.4,7.0,4.8,6.4,112.8,106.4,0.575,117,0.418,0.465,0.353,0.83,42.1,26.5,14.7,7.6,3.9,-1.1,110.4,111.1,0.573,0,08/04/2020
Miami Heat,Boston Celtics,0021901260,112,0.627,0.47,0.383,0.781,44.4,26.1,14.9,7.4,4.5,3.4,112.2,109.1,0.589,106,0.667,0.46,0.365,0.8,45.6,22.6,13.6,8.2,5.6,5.9,112.5,106.6,0.568,1,08/04/2020
Portland Trail Blazers,Houston Rockets,0021901261,110,0.441,0.462,0.374,0.801,44.6,20.1,12.8,6.1,6.2,-1.5,112.4,113.9,0.568,102,0.636,0.454,0.349,0.788,42.8,20.6,13.9,8.2,5.0,3.6,113.6,110.2,0.58,1,08/04/2020
Milwaukee Bucks,Brooklyn Nets,0021901256,116,0.806,0.477,0.354,0.744,49.0,24.4,14.2,7.0,5.7,10.4,112.2,101.8,0.583,119,0.47,0.444,0.339,0.746,47.0,23.5,15.0,6.2,4.4,-0.6,108.0,108.5,0.551,0,08/04/2020
Indiana Pacers,Orlando Magic,0021901259,120,0.612,0.477,0.362,0.789,42.8,26.0,13.1,7.2,5.2,2.1,109.9,107.8,0.565,109,0.478,0.444,0.344,0.773,44.9,24.4,12.8,8.4,5.7,-0.6,108.0,108.8,0.543,1,08/04/2020
Sacramento Kings,Dallas Mavericks,0021901257,110,0.424,0.46,0.362,0.77,42.4,23.4,14.4,7.7,4.1,-2.2,109.1,111.1,0.563,114,0.58,0.462,0.368,0.774,46.8,24.3,12.7,6.2,4.9,5.7,115.8,110.3,0.581,0,08/04/2020
San Antonio Spurs,Denver Nuggets,0021901264,126,0.439,0.47,0.374,0.809,43.7,24.1,12.2,7.0,5.4,-1.5,111.5,112.8,0.57,132,0.657,0.47,0.354,0.775,44.8,26.8,13.9,8.3,4.6,2.7,111.9,109.1,0.564,0,08/05/2020
Los Angeles Lakers,Oklahoma City Thunder,0021901265,86,0.773,0.482,0.352,0.732,45.2,25.2,14.9,8.5,6.7,6.9,112.0,105.3,0.576,105,0.621,0.473,0.356,0.796,42.8,21.8,13.6,7.6,5.1,2.5,110.9,108.3,0.577,0,08/05/2020
Boston Celtics,Brooklyn Nets,0021901267,149,0.657,0.459,0.364,0.8,45.6,22.5,13.6,8.2,5.5,5.7,112.5,106.8,0.568,115,0.478,0.444,0.34,0.746,46.9,23.5,14.9,6.2,4.4,-0.6,108.1,108.5,0.551,1,08/05/2020
Orlando Magic,Toronto Raptors,0021901266,99,0.471,0.445,0.344,0.774,44.9,24.4,12.9,8.4,5.7,-0.7,108.1,109.0,0.544,109,0.727,0.457,0.374,0.805,44.5,24.9,14.4,8.6,4.8,6.4,111.1,104.7,0.574,0,08/05/2020
Utah Jazz,Memphis Grizzlies,0021901262,124,0.627,0.472,0.377,0.776,45.2,22.2,15.2,6.1,4.0,2.7,111.6,108.8,0.585,115,0.471,0.468,0.348,0.763,44.8,26.0,14.6,7.6,5.4,-1.2,108.8,110.0,0.56,1,08/05/2020
Washington Wizards,Philadelphia 76ers,0021901263,98,0.358,0.46,0.371,0.786,40.1,24.3,13.6,7.7,4.1,-4.2,110.9,115.0,0.566,107,0.597,0.466,0.363,0.755,45.4,25.8,14.3,8.1,5.4,2.1,110.1,108.1,0.564,0,08/05/2020
Phoenix Suns,Indiana Pacers,0021901270,114,0.426,0.465,0.355,0.829,42.2,26.5,14.6,7.6,3.9,-1.0,110.5,111.2,0.573,99,0.618,0.478,0.363,0.789,42.7,26.0,13.0,7.3,5.2,2.3,110.1,107.8,0.567,1,08/06/2020
Houston Rockets,Los Angeles Lakers,0021901273,113,0.627,0.453,0.349,0.786,42.8,20.7,13.8,8.2,4.9,3.4,113.4,110.1,0.579,97,0.761,0.48,0.348,0.731,45.2,25.1,14.8,8.4,6.6,6.5,111.6,105.3,0.573,1,08/06/2020
Milwaukee Bucks,Miami Heat,0021901269,130,0.794,0.477,0.353,0.742,49.1,24.5,14.3,6.9,5.7,10.2,112.1,102.0,0.583,116,0.632,0.47,0.382,0.78,44.4,26.0,14.9,7.4,4.5,3.4,112.3,109.1,0.589,1,08/06/2020
Dallas Mavericks,LA Clippers,0021901271,111,0.586,0.46,0.366,0.775,46.9,24.3,12.8,6.2,4.9,5.7,115.7,110.2,0.58,126,0.672,0.464,0.37,0.792,46.5,23.0,14.3,6.9,4.8,6.3,112.9,106.5,0.575,0,08/06/2020
Sacramento Kings,New Orleans Pelicans,0021901268,140,0.418,0.46,0.363,0.769,42.4,23.4,14.4,7.7,4.1,-2.3,109.0,111.1,0.562,125,0.433,0.461,0.371,0.724,44.8,25.6,15.5,7.2,4.7,-1.0,110.2,111.3,0.566,1,08/06/2020
Denver Nuggets,Portland Trail Blazers,0021901272,115,0.662,0.471,0.355,0.777,44.8,26.9,13.9,8.2,4.6,2.8,112.2,109.3,0.565,125,0.449,0.462,0.375,0.799,44.8,20.1,12.8,6.1,6.1,-1.4,112.3,113.7,0.567,0,08/06/2020
Philadelphia 76ers,Orlando Magic,0021901277,108,0.603,0.466,0.363,0.754,45.4,25.8,14.3,8.1,5.3,2.2,110.0,107.9,0.564,101,0.464,0.444,0.343,0.772,44.8,24.4,12.9,8.4,5.6,-0.8,107.9,108.9,0.543,1,08/07/2020
San Antonio Spurs,Utah Jazz,0021901274,119,0.433,0.471,0.374,0.81,43.5,24.2,12.1,7.1,5.4,-1.6,111.7,113.1,0.57,111,0.632,0.472,0.378,0.779,45.2,22.3,15.2,6.1,4.0,2.8,111.7,108.8,0.585,1,08/07/2020
Brooklyn Nets,Sacramento Kings,0021901276,119,0.471,0.444,0.339,0.747,46.7,23.5,14.9,6.2,4.4,-1.1,108.0,108.9,0.551,106,0.426,0.461,0.364,0.768,42.3,23.5,14.3,7.7,4.1,-2.0,109.4,111.3,0.564,1,08/07/2020
Toronto Raptors,Boston Celtics,0021901279,100,0.731,0.458,0.374,0.803,44.5,24.9,14.4,8.6,4.8,6.5,111.0,104.5,0.575,122,0.662,0.461,0.366,0.801,45.5,22.6,13.6,8.2,5.6,6.1,112.9,106.7,0.57,0,08/07/2020
Memphis Grizzlies,Oklahoma City Thunder,0021901275,121,0.464,0.469,0.348,0.762,44.7,26.0,14.6,7.6,5.4,-1.3,108.8,110.1,0.56,92,0.627,0.473,0.354,0.798,42.9,21.7,13.6,7.6,5.0,2.7,110.8,107.9,0.577,1,08/07/2020
New Orleans Pelicans,Washington Wizards,0021901278,118,0.426,0.463,0.371,0.724,44.6,25.6,15.5,7.2,4.7,-1.2,110.4,111.7,0.567,107,0.353,0.46,0.371,0.786,40.2,24.2,13.6,7.7,4.1,-4.2,110.6,114.9,0.565,1,08/07/2020
Miami Heat,Phoenix Suns,0021901283,112,0.623,0.469,0.383,0.783,44.3,26.0,14.9,7.4,4.4,3.2,112.3,109.3,0.589,119,0.435,0.465,0.354,0.83,42.3,26.5,14.7,7.6,3.9,-0.8,110.5,110.9,0.573,0,08/08/2020
Portland Trail Blazers,LA Clippers,0021901280,117,0.457,0.462,0.378,0.799,44.8,20.3,12.8,6.1,6.1,-1.2,112.6,113.8,0.568,122,0.676,0.465,0.371,0.792,46.5,23.0,14.3,6.8,4.7,6.5,113.1,106.7,0.576,0,08/08/2020
Indiana Pacers,Los Angeles Lakers,0021901282,116,0.609,0.478,0.362,0.789,42.6,25.9,13.0,7.3,5.2,2.0,109.9,107.9,0.566,111,0.75,0.479,0.346,0.73,45.2,25.0,15.0,8.5,6.6,6.2,111.3,105.3,0.573,1,08/08/2020
Dallas Mavericks,Milwaukee Bucks,0021901284,136,0.577,0.46,0.366,0.774,46.8,24.3,12.7,6.2,4.9,5.4,115.7,110.5,0.58,132,0.797,0.478,0.354,0.745,48.9,24.5,14.2,6.9,5.6,10.2,112.2,102.1,0.584,1,08/08/2020
Denver Nuggets,Utah Jazz,0021901281,134,0.652,0.472,0.357,0.776,44.8,27.0,14.0,8.2,4.6,2.6,112.4,109.7,0.566,132,0.623,0.471,0.379,0.779,45.2,22.3,15.2,6.1,4.0,2.7,111.6,108.9,0.585,1,08/08/2020
New Orleans Pelicans,San Antonio Spurs,0021901287,113,0.435,0.463,0.371,0.726,44.6,25.6,15.6,7.2,4.7,-1.0,110.5,111.6,0.567,122,0.441,0.471,0.374,0.809,43.5,24.2,12.1,7.1,5.4,-1.4,111.8,113.0,0.571,0,08/09/2020
LA Clippers,Brooklyn Nets,0021901291,120,0.681,0.465,0.372,0.792,46.4,23.0,14.2,6.8,4.7,6.4,113.2,106.8,0.577,129,0.478,0.445,0.34,0.745,46.6,23.6,14.8,6.3,4.4,-0.9,108.2,108.9,0.551,0,08/09/2020
Boston Celtics,Orlando Magic,0021901288,122,0.667,0.461,0.366,0.8,45.6,22.6,13.6,8.2,5.5,6.4,112.9,106.6,0.57,119,0.457,0.444,0.341,0.772,44.9,24.3,12.9,8.3,5.6,-0.9,107.8,109.0,0.543,1,08/09/2020
Portland Trail Blazers,Philadelphia 76ers,0021901289,124,0.451,0.462,0.378,0.798,44.7,20.3,12.8,6.1,6.1,-1.3,112.6,113.9,0.569,121,0.609,0.465,0.362,0.753,45.5,25.7,14.2,8.1,5.3,2.3,110.0,107.8,0.563,1,08/09/2020
Sacramento Kings,Houston Rockets,0021901290,112,0.42,0.46,0.363,0.768,42.4,23.4,14.3,7.7,4.1,-2.2,109.3,111.4,0.563,129,0.632,0.452,0.349,0.787,42.6,20.7,13.9,8.3,4.9,3.6,113.3,109.9,0.579,0,08/09/2020
Toronto Raptors,Memphis Grizzlies,0021901286,108,0.721,0.457,0.372,0.803,44.5,24.8,14.4,8.6,4.8,6.1,110.8,104.7,0.574,99,0.471,0.47,0.348,0.764,44.9,25.9,14.7,7.6,5.4,-0.9,109.0,109.8,0.562,1,08/09/2020
Oklahoma City Thunder,Washington Wizards,0021901285,121,0.618,0.471,0.353,0.798,42.8,21.7,13.6,7.7,5.0,2.3,110.5,108.1,0.575,103,0.348,0.459,0.371,0.788,40.2,24.2,13.6,7.7,4.1,-4.3,110.5,114.9,0.565,1,08/09/2020
Los Angeles Lakers,Denver Nuggets,0021901296,124,0.739,0.478,0.346,0.73,45.2,24.9,15.0,8.5,6.6,6.0,111.3,105.5,0.572,121,0.657,0.472,0.355,0.776,44.8,26.9,13.9,8.2,4.6,2.6,112.3,109.7,0.566,1,08/10/2020
Phoenix Suns,Oklahoma City Thunder,0021901292,128,0.443,0.465,0.354,0.832,42.4,26.5,14.6,7.5,3.9,-0.7,110.6,110.9,0.573,101,0.623,0.471,0.355,0.797,42.8,21.8,13.6,7.7,4.9,2.5,110.7,108.1,0.576,1,08/10/2020
Miami Heat,Indiana Pacers,0021901295,114,0.614,0.469,0.382,0.784,44.2,26.1,14.9,7.4,4.5,3.0,112.2,109.5,0.589,92,0.614,0.478,0.364,0.79,42.6,25.9,13.1,7.3,5.2,2.1,109.9,107.9,0.567,1,08/10/2020
Utah Jazz,Dallas Mavericks,0021901293,114,0.614,0.471,0.379,0.778,45.2,22.4,15.3,6.1,4.0,2.6,111.6,108.9,0.585,122,0.583,0.46,0.365,0.777,46.8,24.4,12.6,6.1,4.8,5.4,115.8,110.5,0.579,0,08/10/2020
Milwaukee Bucks,Toronto Raptors,0021901294,106,0.786,0.478,0.354,0.744,48.9,24.4,14.2,6.9,5.7,10.0,112.3,102.3,0.584,114,0.725,0.458,0.372,0.802,44.4,24.8,14.6,8.7,4.8,6.1,110.6,104.5,0.575,0,08/10/2020
Philadelphia 76ers,Phoenix Suns,0021901299,117,0.6,0.466,0.363,0.753,45.5,25.7,14.2,8.1,5.3,2.2,110.1,108.0,0.563,130,0.451,0.465,0.357,0.833,42.5,26.5,14.7,7.6,3.9,-0.3,110.7,110.7,0.574,0,08/11/2020
San Antonio Spurs,Houston Rockets,0021901298,123,0.449,0.471,0.374,0.812,43.6,24.2,12.2,7.2,5.4,-1.3,111.8,112.9,0.571,105,0.638,0.453,0.349,0.788,42.6,20.7,13.9,8.2,4.9,3.8,113.4,109.7,0.58,1,08/11/2020
Orlando Magic,Brooklyn Nets,0021901297,96,0.451,0.443,0.341,0.773,44.9,24.2,12.9,8.3,5.5,-1.0,107.8,109.0,0.543,108,0.486,0.446,0.342,0.745,46.6,23.7,14.9,6.3,4.4,-0.7,108.4,109.1,0.553,0,08/11/2020
Dallas Mavericks,Portland Trail Blazers,0021901300,131,0.589,0.461,0.366,0.778,46.7,24.5,12.6,6.1,4.8,5.4,115.9,110.7,0.58,134,0.458,0.462,0.377,0.801,44.6,20.3,12.7,6.1,6.1,-1.2,112.8,114.0,0.569,0,08/11/2020
Sacramento Kings,New Orleans Pelicans,0021901302,112,0.414,0.46,0.362,0.769,42.4,23.5,14.3,7.7,4.1,-2.4,109.2,111.4,0.564,106,0.429,0.463,0.371,0.727,44.6,25.7,15.6,7.1,4.7,-1.1,110.4,111.6,0.567,1,08/11/2020
Washington Wizards,Milwaukee Bucks,0021901303,113,0.343,0.459,0.369,0.788,40.3,24.2,13.6,7.7,4.1,-4.5,110.5,115.0,0.564,126,0.775,0.477,0.353,0.744,48.9,24.4,14.3,6.8,5.7,9.8,112.1,102.4,0.584,0,08/11/2020
Memphis Grizzlies,Boston Celtics,0021901301,107,0.465,0.469,0.348,0.763,44.8,25.9,14.8,7.7,5.3,-1.0,108.7,109.7,0.561,122,0.671,0.461,0.365,0.801,45.6,22.7,13.6,8.2,5.6,6.3,112.9,106.6,0.57,0,08/11/2020
Philadelphia 76ers,Toronto Raptors,0021901305,121,0.592,0.466,0.365,0.753,45.4,25.7,14.2,8.0,5.3,2.0,110.3,108.4,0.564,125,0.729,0.457,0.371,0.8,44.5,24.7,14.5,8.7,4.9,6.1,110.6,104.5,0.574,0,08/12/2020
Houston Rockets,Indiana Pacers,0021901304,104,0.629,0.452,0.348,0.789,42.5,20.6,13.9,8.3,4.9,3.5,113.0,109.7,0.579,108,0.606,0.477,0.363,0.788,42.6,25.8,13.1,7.3,5.2,1.7,109.6,107.9,0.566,0,08/12/2020
Denver Nuggets,LA Clippers,0021901307,111,0.648,0.474,0.357,0.776,44.7,27.0,13.9,8.2,4.6,2.5,112.6,110.0,0.567,124,0.671,0.466,0.372,0.793,46.3,23.0,14.2,6.8,4.7,6.2,113.4,107.1,0.577,0,08/12/2020
Oklahoma City Thunder,Miami Heat,0021901306,116,0.614,0.47,0.355,0.798,42.7,21.8,13.6,7.7,4.9,2.1,110.4,108.2,0.575,115,0.62,0.469,0.381,0.782,44.4,26.1,14.9,7.4,4.6,3.3,112.2,109.2,0.588,1,08/12/2020
Los Angeles Lakers,Sacramento Kings,0021901310,122,0.743,0.479,0.348,0.729,45.0,25.0,14.9,8.5,6.6,6.0,111.6,105.8,0.573,136,0.423,0.461,0.362,0.771,42.4,23.5,14.4,7.6,4.1,-2.3,109.2,111.3,0.564,0,08/13/2020
Phoenix Suns,Dallas Mavericks,0021901313,128,0.458,0.466,0.357,0.835,42.6,26.6,14.6,7.5,3.9,-0.1,111.1,110.9,0.575,102,0.581,0.462,0.368,0.778,46.5,24.5,12.6,6.1,4.8,5.3,116.1,110.9,0.581,1,08/13/2020
Brooklyn Nets,Portland Trail Blazers,0021901309,133,0.493,0.446,0.342,0.746,46.6,23.7,14.9,6.3,4.4,-0.5,108.4,108.9,0.553,134,0.466,0.462,0.378,0.803,44.7,20.2,12.6,6.1,6.0,-1.2,112.9,114.1,0.569,0,08/13/2020
Boston Celtics,Washington Wizards,0021901308,90,0.676,0.462,0.366,0.8,45.6,22.8,13.6,8.2,5.6,6.4,113.1,106.6,0.571,96,0.338,0.458,0.368,0.788,40.3,24.1,13.6,7.6,4.1,-4.6,110.4,115.0,0.564,0,08/13/2020
Orlando Magic,New Orleans Pelicans,0021901312,133,0.444,0.442,0.34,0.775,45.0,24.1,12.9,8.3,5.5,-1.1,107.6,109.0,0.542,127,0.423,0.463,0.371,0.728,44.4,25.6,15.7,7.2,4.8,-1.2,110.3,111.6,0.567,1,08/13/2020
Utah Jazz,San Antonio Spurs,0021901314,118,0.606,0.471,0.381,0.778,45.1,22.5,15.3,6.1,4.1,2.4,111.7,109.2,0.585,112,0.457,0.471,0.375,0.813,43.7,24.2,12.3,7.2,5.3,-1.0,111.7,112.6,0.571,1,08/13/2020
Memphis Grizzlies,Milwaukee Bucks,0021901311,119,0.458,0.468,0.347,0.764,44.8,25.9,14.7,7.7,5.3,-1.2,108.7,109.9,0.56,106,0.778,0.477,0.355,0.743,48.9,24.4,14.2,6.8,5.6,9.8,112.2,102.4,0.584,1,08/13/2020
